step,vocab_size,compression_rate,best_pair_count
221,478,0.4315738351765736,1194367
222,479,0.43102978714442347,1189232
223,480,0.43048652002801635,1187525
224,481,0.4299446546256318,1184461
225,482,0.42940379430343906,1182264
226,483,0.42886429589464226,1179287
227,484,0.42832741837998234,1173558
228,485,0.42779164476086307,1171145
229,486,0.4272579247625817,1166656
230,487,0.4267270873361203,1160355
231,488,0.4261997619718493,1152678
232,489,0.42567303498941295,1151370
233,490,0.42514657608935824,1150784
234,491,0.4246212247446719,1148363
235,492,0.4240962256584051,1147593
236,493,0.4235838927784514,1119906
237,494,0.42307170217430085,1119595
238,495,0.42257043752837536,1095712
239,496,0.4220700585607618,1093776
240,497,0.42157302604813357,1086461
241,498,0.42108010718187977,1077469
242,499,0.4205879152489098,1075880
243,500,0.4200970655577618,1072946
244,501,0.4196154761457408,1052704
245,502,0.4191355501254254,1049068
246,503,0.4186557970319706,1048690
247,504,0.41817730383421353,1045936
248,505,0.4177012503691205,1040603
249,506,0.417232148289332,1025408
250,507,0.41676880449100645,1012821
251,508,0.41630879250835534,1005538
252,509,0.4158501195651768,1002611
253,510,0.4153948928072895,995078
254,511,0.41494143877846135,991203
255,512,0.41449280840258823,980659
256,513,0.41405287880967717,961640
257,514,0.4136140618043976,959208
258,515,0.41317803724767993,953104
259,516,0.412742783542179,951419
260,517,0.4123131943350553,939037
261,518,0.41188429500545964,937529
262,519,0.41145799003624983,931858
263,520,0.41103211143697116,930926
264,521,0.41061572368596677,910180
265,522,0.41019952807591853,909760
266,523,0.40978343173869763,909543
267,524,0.40936846491581147,907074
268,525,0.4089589617582555,895131
269,526,0.40855149575231264,890678
270,527,0.4081455051144256,887453
271,528,0.40774027434827204,885792
272,529,0.4073351972948833,885456
273,530,0.40693485285623476,875111
274,531,0.40653482087537907,874428
275,532,0.4061352614697797,873395
276,533,0.4057369596724858,870646
277,534,0.4053394634947722,868885
278,535,0.4049427852885573,867097
279,536,0.40454950340248075,859673
280,537,0.40415692328837244,858139
281,538,0.40376572430175567,855120
282,539,0.40337626922305475,851308
283,540,0.4029869541327647,851002
284,541,0.4025989291317513,848182
285,542,0.4022137821277732,841891
286,543,0.4018298346323353,839269
287,544,0.40144694619954824,836954
288,545,0.40106526002017223,834326
289,546,0.4006836895828484,834073
290,547,0.4003026868763019,832832
291,548,0.39992269473968883,830623
292,549,0.3995429290549169,830128
293,550,0.39916418171721224,827902
294,551,0.3987858799635344,826928
295,552,0.39841418968866016,812476
296,553,0.39804280043461715,811818
297,554,0.3976717282131517,811125
298,555,0.3973008646018672,810669
299,556,0.39693922329899695,790510
300,557,0.3965780632634739,789458
301,558,0.39621852636155136,785910
302,559,0.3958606089334017,782370
303,560,0.395506215919361,774666
304,561,0.39515342682482535,771160
305,562,0.3948025344360134,767014
306,563,0.3944527276436034,764641
307,564,0.39410371777868275,762899
308,565,0.3937548254857281,762642
309,566,0.39340738202707815,759475
310,567,0.39306294511691264,752903
311,568,0.39272792768838066,732313
312,569,0.3923990189698172,718960
313,570,0.39207080287365265,717446
314,571,0.39174320254350453,716100
315,572,0.39141813938893383,710554
316,573,0.39109381460460874,708940
317,574,0.39077034621997364,707068
318,575,0.3904474620353408,705791
319,576,0.390125455751886,703872
320,577,0.3898037829702335,703143
321,578,0.38948237964339805,702554
322,579,0.3891612425690303,701972
323,580,0.3888403054127526,701535
